Class (FINAL),Morph Class,Simplified Terrain,DEM,"Diameter, crater (m)",depth (m),depth/ Diameter,Avg Wall Slope (ø),rim h (avg),rim/D
AB,NORMAL,mare,Reiner3,55,7.4,0.13,15.6,NaN,NaN
AB,NORMAL,mare,Reiner3,39,4,0.1,12.1,NaN,NaN
AB,NORMAL,mare,Reiner3,44,4.6,0.1,11.9,NaN,NaN
AB,FLAT,mare,Reiner3,51,5.5,0.11,14.8,NaN,NaN
AB,NORMAL,mare,Reiner3,45,6.7,0.15,16.7,NaN,NaN
AB,NORMAL,mare,Reiner3,44,5.1,0.12,13.5,NaN,NaN
AB,NORMAL,mare,Reiner3,97,11.3,0.12,14.8,NaN,NaN
AB,NORMAL,mare,Reiner3,44,3.3,0.08,9.2,NaN,NaN
AB,NORMAL,mare,Reiner3,52,4.2,0.08,9.2,NaN,NaN
AB,NORMAL,mare,Reiner3,70,7.2,0.1,11.8,NaN,NaN
AB,FLAT,mare,Reiner3,46,2.8,0.06,7.7,NaN,NaN
AB,NORMAL,mare,Reiner3,44,3.4,0.08,9.7,NaN,NaN
AB,NORMAL,mare,Reiner4,52,6.9,0.13,15,NaN,NaN
AB,NORMAL,mare,Reiner4,40,3.6,0.09,10.1,NaN,NaN
AB,NORMAL,mare,Reiner4,54,6.4,0.12,14.1,NaN,NaN
AB,NORMAL,mare,Reiner4,46,3.6,0.08,9.1,NaN,NaN
AB,NORMAL,mare,Reiner4,43,4.1,0.1,11.1,NaN,NaN
AB,NORMAL,mare,Reiner4,48,5.9,0.12,14.4,NaN,NaN
AB,NORMAL,mare,Reiner4,46,5.2,0.11,13.2,NaN,NaN
AB,NORMAL,mare,Reiner4,66,8.6,0.13,14.8,NaN,NaN
AB,MOUND,mare,Reiner4,60,5,0.08,9.6,NaN,NaN
AB,NORMAL,mare,Reiner4,141,18.2,0.13,14.6,NaN,NaN
AB,NORMAL,mare,ReinerMos,65,8,0.12,17.8,2,0.03
AB,POND,mare,RumkerDomes1,717,156,0.22,25.3,18,0.02
AB,POND,mare,RumkerDomes4,248,46,0.19,21.8,3,0.01
AB,NORMAL,highlands,SPArim2,50,4.6,0.09,10.8,NaN,NaN
AB,NORMAL,highlands,SPArim2,54,4.5,0.08,9.9,NaN,NaN
AB,NORMAL,highlands,SPArim2,116,18.5,0.16,17.9,NaN,NaN
AB,NORMAL,highlands,SPArim2,189,28.3,0.15,17.4,NaN,NaN
AB,NORMAL,highlands,SPArim2,57,4.9,0.09,10.5,NaN,NaN
AB,NORMAL,highlands,SPArim3,109,13.9,0.13,15.2,NaN,NaN
AB,NORMAL,highlands,SPArim3,121,16.8,0.14,15.6,NaN,NaN
AB,NORMAL,highlands,SPArim3,52,4.9,0.09,11.1,NaN,NaN
AB,NORMAL,highlands,SPArim3,59,6.1,0.1,11.9,NaN,NaN
AB,FLAT,highlands,SPArim3,125,16.7,0.13,15.1,NaN,NaN
AB,NORMAL,highlands,SPArim3,319,55.1,0.17,19.4,NaN,NaN
AB,NORMAL,highlands,SPArim3,110,18.6,0.17,18.8,NaN,NaN
AB,NORMAL,highlands,SPArim3,50,4.6,0.09,10.7,NaN,NaN
AB,NORMAL,highlands,SPArim3,49,5,0.1,11.4,NaN,NaN
AB,NORMAL,highlands,SPArim3,60,6.8,0.11,13.2,NaN,NaN
AB,FLAT,highlands,SPArim3,73,8.3,0.11,12.9,NaN,NaN
AB,FLAT,highlands,SPArim3,537,98,0.18,20.5,15,0.03
AB,NORMAL,highlands,SPArim4,134,21.6,0.16,18.9,NaN,NaN
AB,NORMAL,highlands,SPArim4,81,9.1,0.11,13.1,NaN,NaN
AB,NORMAL,highlands,SPArim4,96,13,0.14,15.3,NaN,NaN
AB,NORMAL,highlands,SPArim4,52,5.7,0.11,12.5,NaN,NaN
AB,NORMAL,highlands,SPArim4,71,9.3,0.13,14.8,NaN,NaN
AB,NORMAL,highlands,SPArim4,54,6.2,0.12,13.3,NaN,NaN
AB,POND,mare,TranqPit,578,116,0.2,23.3,14,0.02
AB,NORMAL,mare,Trnqrdge,293,46,0.16,19.2,5,0.02
AB,NORMAL,ejecta,TychoRim,123,18,0.15,18,NaN,NaN
AB,NORMAL,impact_melt,TychoRim,100,14,0.14,16.3,NaN,NaN
AB,NORMAL,ejecta,TychoRim,69,8,0.12,12.8,NaN,NaN
AB,NORMAL,ejecta,TychoRim,93,13,0.14,16.3,NaN,NaN
AB,NORMAL,ejecta,TychoRim,84,15,0.18,20.5,2,0.02
AB,NORMAL,ejecta,TychoSE,84,15.9,0.19,21.2,NaN,NaN
AB,NORMAL,ejecta,TychoSE,414,92.1,0.22,24.6,NaN,NaN
AB,NORMAL,ejecta,TychoSE,86,13.4,0.16,17.2,NaN,NaN
AB,NORMAL,ejecta,TychoSE,72,11.9,0.16,18.7,NaN,NaN
AB,NORMAL,ejecta,TychoSE,179,38.6,0.22,25.9,NaN,NaN
AB,NORMAL,ejecta,TychoSE,67,9,0.13,15.3,NaN,NaN
AB,NORMAL,impact_melt,TychoSE,92,17.8,0.19,21.5,NaN,NaN
AB,FLAT,impact_melt,TychoSE,115,17.8,0.15,17.3,NaN,NaN
AB,NORMAL,ejecta,TychoSE,98,18.1,0.18,20.6,NaN,NaN
AB,FLAT,ejecta,TychoSE,42,4.1,0.1,11.2,NaN,NaN
AB,NORMAL,ejecta,TychoSE,76,11.4,0.15,17.6,NaN,NaN
AB,NORMAL,impact_melt,TychoSE,67,9.3,0.14,15.6,NaN,NaN
AB,NORMAL,impact_melt,TychoSE,71,10.9,0.15,18.1,NaN,NaN
AB,NORMAL,ejecta,TychoSE,104,17.5,0.17,19.3,NaN,NaN
AB,MOUND,mix,VallesSchroteri,771,156,0.2,23.8,17,0.02
AB,NORMAL,ejecta,Whale,335,51,0.15,19.7,8,0.02
B,NORMAL,mare,Apollo15,47,6.3,0.13,16,NaN,NaN
B,NORMAL,mare,Apollo15,57,5.8,0.1,11.6,NaN,NaN
B,NORMAL,mare,Apollo15,85,11.1,0.13,14.8,NaN,NaN
B,NORMAL,highlands,Apollo15,61,8.5,0.14,17.2,NaN,NaN
B,NORMAL,mare,Apollo15,60,6.5,0.11,12.3,NaN,NaN
B,NORMAL,mare,Apollo15,74,8.4,0.11,13,NaN,NaN
B,NORMAL,mare,Apollo15,174,26.7,0.15,17.3,NaN,NaN
B,NORMAL,mare,Apollo15,46,4.8,0.1,12.7,NaN,NaN
B,NORMAL,mare,Apollo15,62,10.1,0.16,18.3,NaN,NaN
B,NORMAL,highlands,Apollo16,69,9.1,0.13,15.2,NaN,NaN
B,NORMAL,highlands,Apollo16,72,10.5,0.15,16.9,NaN,NaN
B,NORMAL,highlands,Apollo16,52,7.6,0.15,16.8,NaN,NaN
B,NORMAL,highlands,Apollo16,51,5.4,0.11,12.5,NaN,NaN
B,NORMAL,highlands,Apollo16,55,7.9,0.14,16.1,NaN,NaN
B,NORMAL,highlands,Apollo16,60,5.9,0.1,12.5,NaN,NaN
B,NORMAL,highlands,Apollo16,69,8.8,0.13,14.4,NaN,NaN
B,NORMAL,highlands,Apollo16,41,5.2,0.13,15,NaN,NaN
